#;Name;Algorithm;Featurization;Excluded from predictive evaluation;Excluded from uncertainty evaluation
1;Tetrahymena;RF;MACCS;;
2;Tetrahymena;RF;MFC;;
3;Tetrahymena;RF;RDKit;;
4;Tetrahymena;RF;CDDD;x;
5;Tetrahymena;XGB;MACCS;;
6;Tetrahymena;XGB;MFC;;
7;Tetrahymena;XGB;RDKit;;
8;Tetrahymena;XGB;CDDD;;
9;Tetrahymena;SVM;MACCS;;
10;Tetrahymena;SVM;MFC;x;
11;Tetrahymena;SVM;RDKit;x;
12;Tetrahymena;SVM;CDDD;x;
13;Tetrahymena;Shallow;MACCS;;
14;Tetrahymena;Shallow;MFC;;
15;Tetrahymena;Shallow;RDKit;;
16;Tetrahymena;Shallow;CDDD;;
17;Tetrahymena;Deep;MACCS;;
18;Tetrahymena;Deep;MFC;;
19;Tetrahymena;Deep;RDKit;;
20;Tetrahymena;Deep;CDDD;;
21;FreeSolv;RF;MACCS;;
22;FreeSolv;RF;MFC;;
23;FreeSolv;RF;RDKit;x;
24;FreeSolv;RF;CDDD;;
25;FreeSolv;XGB;MACCS;;
26;FreeSolv;XGB;MFC;;
27;FreeSolv;XGB;RDKit;x;
28;FreeSolv;XGB;CDDD;x;
29;FreeSolv;SVM;MACCS;x;
30;FreeSolv;SVM;MFC;x;
31;FreeSolv;SVM;RDKit;x;
32;FreeSolv;SVM;CDDD;x;
33;FreeSolv;Shallow;MACCS;;
34;FreeSolv;Shallow;MFC;;
35;FreeSolv;Shallow;RDKit;;
36;FreeSolv;Shallow;CDDD;x;
37;FreeSolv;Deep;MACCS;;
38;FreeSolv;Deep;MFC;;x
39;FreeSolv;Deep;RDKit;;
40;FreeSolv;Deep;CDDD;;
41;ESOL;RF;MACCS;;
42;ESOL;RF;MFC;x;
43;ESOL;RF;RDKit;x;
44;ESOL;RF;CDDD;x;
45;ESOL;XGB;MACCS;;
46;ESOL;XGB;MFC;;
47;ESOL;XGB;RDKit;;
48;ESOL;XGB;CDDD;;
49;ESOL;SVM;MACCS;x;
50;ESOL;SVM;MFC;x;
51;ESOL;SVM;RDKit;;
52;ESOL;SVM;CDDD;x;
53;ESOL;Shallow;MACCS;;
54;ESOL;Shallow;MFC;;
55;ESOL;Shallow;RDKit;x;
56;ESOL;Shallow;CDDD;;
57;ESOL;Deep;MACCS;;
58;ESOL;Deep;MFC;;
59;ESOL;Deep;RDKit;;
60;ESOL;Deep;CDDD;;
61;MMP2;RF;MACCS;;
62;MMP2;RF;MFC;;
63;MMP2;RF;RDKit;x;
64;MMP2;RF;CDDD;;
65;MMP2;XGB;MACCS;;x
66;MMP2;XGB;MFC;;x
67;MMP2;XGB;RDKit;;
68;MMP2;XGB;CDDD;;
69;MMP2;SVM;MACCS;x;
70;MMP2;SVM;MFC;;
71;MMP2;SVM;RDKit;x;
72;MMP2;SVM;CDDD;x;
73;MMP2;Shallow;MACCS;;
74;MMP2;Shallow;MFC;;
75;MMP2;Shallow;RDKit;;
76;MMP2;Shallow;CDDD;;
77;MMP2;Deep;MACCS;x;x
78;MMP2;Deep;MFC;;
79;MMP2;Deep;RDKit;x;
80;MMP2;Deep;CDDD;;
81;IL4;RF;MACCS;;
82;IL4;RF;MFC;x;
83;IL4;RF;RDKit;;
84;IL4;RF;CDDD;;
85;IL4;XGB;MACCS;;
86;IL4;XGB;MFC;;
