id;predicted;uq;resid
CHEMBL103667;-3.6749551;0.2929843;-0.8021661250962495
CHEMBL1077291;-3.2039392;0.21339783;0.10013547849167503
CHEMBL1077729;-1.6509607;0.2771361;0.04890069249466933
CHEMBL1078060;-1.5768541;0.26280764;0.1296960784218799
CHEMBL1078061;-1.5629647;0.260995;-0.24321529617321813
CHEMBL1078827;-2.247937;0.27687153;-0.898191071643204
CHEMBL1078828;-1.604217;0.25389174;-1.085979027568797
CHEMBL1078906;-1.5776224;0.308712;0.1304643822930347
CHEMBL1079538;-1.8203633;0.17960519;0.5899143617790745
CHEMBL1079713;-1.4507911;0.27017412;0.14976112486519355
CHEMBL1082291;-1.3903524;0.28010118;0.788292377026835
CHEMBL1082492;-0.81629336;0.40135634;0.03814210841915178
CHEMBL1082507;-1.8416613;0.1455042;0.637541351381856
CHEMBL1082597;-1.5767864;0.2291193;0.5767863988876343
CHEMBL1082830;-1.6519464;0.23808363;-0.2565385934407223
CHEMBL1082831;-1.515126;0.26493752;-0.2008773537208588
CHEMBL1083490;-2.2630079;0.15086834;0.365380787966761
CHEMBL1083491;-2.0024953;0.21656162;0.26213259935463284
CHEMBL1083771;-2.3393307;0.11932899;0.27863283286416163
CHEMBL1083772;-1.527215;0.23464333;0.44803375791966027
CHEMBL1083773;-1.7723534;0.1797676;-1.040559945922031
CHEMBL1083774;-1.6040285;0.25757816;0.37357954198537335
CHEMBL1083801;-1.2641155;0.36432678;0.3098729433270937
CHEMBL1084067;-1.6193167;0.25414565;0.017256705792703997
CHEMBL1084079;-1.0021564;0.3231271;0.7011263811747028
CHEMBL1084451;-2.635235;0.2930375;0.11409698747821517
CHEMBL1084452;-2.3025677;0.28273565;-0.21198003224707795
CHEMBL1084453;-2.703111;0.18770297;-0.5164735929104216
CHEMBL1084633;-2.9429336;0.2190541;0.5907510413063619
CHEMBL1084634;-2.2653654;0.29369336;-0.46217589486119826
CHEMBL1084636;-1.4676361;0.23454739;0.4676361083984375
CHEMBL1084858;-1.1851206;0.35902426;0.48615057824454755
CHEMBL1084859;-1.1371442;0.3166058;0.2340542209624631
CHEMBL1084860;-0.539011;0.4352076;-0.23914024879672957
CHEMBL1084887;-1.4964108;0.24913798;-0.41207417216844444
CHEMBL1084888;-2.117282;0.25072625;0.6121319354374182
CHEMBL1084889;-1.2080531;0.3383771;-0.2690681426896331
CHEMBL1084926;-3.0435739;0.12706283;-0.9564261436462402
CHEMBL1085131;-1.4015427;0.25685355;-0.33882002592002536
