id;predicted;uq;resid
CHEMBL103667;-3.8256948;0.2625903;0.5246648037592365
CHEMBL1084269;-3.6506243;0.14138147;-0.34937572479248047
CHEMBL1084546;0.019159144;0.64119714;-0.14409788039890148
CHEMBL1200485;-2.5972626;0.36006546;-1.4027373790740967
CHEMBL120077;-2.7338493;0.21824521;-2.266150712966919
CHEMBL1254007;-3.4927576;0.12716311;0.07778421085181364
CHEMBL1257795;-2.845858;0.21268043;-0.23332314897120865
CHEMBL1257911;-3.016958;0.23418312;0.8408667392200755
CHEMBL1257912;-2.7242043;0.40655637;0.46893179673080043
CHEMBL1258821;-3.1705542;0.23833309;-0.6682949296654779
CHEMBL1270230;-3.6252408;0.204266;-0.3747591972351074
CHEMBL1288582;-4.183652;0.28090283;0.4440795796832089
CHEMBL1614725;-3.3601956;0.22074898;-0.6398043632507324
CHEMBL1684800;-3.5169795;0.24061556;2.901029404291475
CHEMBL1738758;-2.1950517;0.40393287;-1.804948329925537
CHEMBL1783837;-3.206346;0.09745974;-0.11587325973025697
CHEMBL1822511;-3.5419722;0.21579255;2.3115232389610814
CHEMBL1834657;-1.7663416;0.5137023;-2.2336584329605103
CHEMBL1922224;-4.4903345;0.31451026;0.26244780618954877
CHEMBL1922225;-5.0419784;0.41092524;1.0125945815372024
CHEMBL1929238;-3.8662543;0.22278415;-0.6108669250382661
CHEMBL1934334;-2.8604348;0.19303887;1.5382154758501871
CHEMBL1934335;-1.9801768;0.30189395;-0.5909494706344214
CHEMBL1934336;-2.6695688;0.13181746;0.17541418306590773
CHEMBL1934337;-2.9324112;0.20800994;0.10449293710230645
CHEMBL1934338;-3.3388963;0.23413494;0.5503743873441773
CHEMBL1934339;-2.9446516;0.12540412;0.4125344874499266
CHEMBL1934340;-2.579259;0.13152137;-1.1217907119669328
CHEMBL1934341;-2.8834696;0.1123809;0.03129467718370016
CHEMBL1934342;-2.8039057;0.096034355;-0.8999872281534187
CHEMBL1934343;-3.509265;0.20667566;0.795354591854931
CHEMBL1934344;-3.2299683;0.22170782;0.6479049464907569
CHEMBL1934345;-2.8185053;0.114259094;-0.9610912040874138
CHEMBL1934346;-3.7985368;0.17310975;-0.2014632225036621
CHEMBL1934347;-3.1319973;0.26295644;0.3908457480262668
CHEMBL1934348;-2.67207;0.21489975;0.5857101957229567
CHEMBL1934349;-3.3226254;0.22092484;0.32262539863586426
CHEMBL1934350;-2.689463;0.10288749;0.37770903910598896
CHEMBL1934351;-2.9031506;0.08695849;0.6804340873240959
CHEMBL1934352;-2.4208853;0.18124166;-0.37185646135659933
CHEMBL1934353;-2.705089;0.2557938;0.3777301578683083
CHEMBL1945559;-3.426546;0.21241017;-0.5734539031982422
CHEMBL1949788;-4.633176;0.35916162;-0.06579415442146797
CHEMBL1949789;-4.62387;0.384395;-0.07510010840096015
CHEMBL1957190;-4.2780814;0.2668679;-0.26598662726653544
CHEMBL201307;-2.945873;0.1523903;-0.6561869692484947
CHEMBL201511;-4.1419563;0.19269997;1.2334713104670532
CHEMBL2029180;-3.3058426;0.11405016;0.06696054910061111
CHEMBL2029181;-3.2909424;0.13687347;0.13560639303115396
CHEMBL203020;-3.4758227;0.15143134;0.2997314280933665
