id;predicted;uq;resid
CHEMBL100231;-2.5855167;0.1841918;-1.041030763692996
CHEMBL100595;-3.1614032;0.2451295;0.25924793051702144
CHEMBL100617;-2.4029255;0.17517127;0.15859888110237197
CHEMBL100763;-2.2385182;0.102532625;-0.38106548483315006
CHEMBL101083;-2.2441788;0.13019897;-0.06651454037070437
CHEMBL101382;-2.1482003;0.2294945;-0.35354573586927707
CHEMBL101719;-3.6076348;0.2930071;0.18496288446385112
CHEMBL101807;-2.573739;0.14186509;0.6029506658711676
CHEMBL101997;-2.1110022;0.13139553;-0.04449324517965092
CHEMBL103294;-2.3749583;0.11378413;-0.30090251807542145
CHEMBL103305;-2.320627;0.14837436;-0.024570257824144903
CHEMBL103650;-0.9609846;0.24785496;-1.6632975081662957
CHEMBL10560;-3.1871305;0.30069676;0.42370245763945524
CHEMBL1076438;-3.9568305;0.39025685;0.4797092468367339
CHEMBL1082224;-1.5051955;0.104154006;-0.3143484370753771
CHEMBL1082424;-3.0190334;0.55022883;-0.16281015593793668
CHEMBL1082528;-1.6190969;0.12837327;0.12773518135646222
CHEMBL1082529;-1.5063999;0.13649881;-0.805353991136931
CHEMBL1082539;-1.6814197;0.101034306;-0.4154902828215934
CHEMBL1082723;-4.21208;0.41417238;-0.2650412528886079
CHEMBL1082742;-1.4078304;0.22858912;-1.9123159285594795
CHEMBL1082743;-4.195967;0.49611485;0.7694559360536375
CHEMBL1082864;-1.6753289;0.07856617;-0.1240116987074269
CHEMBL1083178;-2.6403112;0.15562752;1.208947476990915
CHEMBL1083179;-2.1374912;0.106373765;-0.45357338083021004
CHEMBL1083186;-1.6330191;0.13934891;0.27129125368119866
CHEMBL1083187;-1.4046875;0.17315218;-0.9932524848301791
CHEMBL1083188;-1.9905648;0.27899408;0.34711214666444734
CHEMBL1083194;-1.0432106;0.24337813;1.2370306516646115
CHEMBL1083326;-4.021133;0.4238071;-0.9611382870251646
CHEMBL1083497;-2.7500372;0.18846634;-0.24996280670166016
CHEMBL1083805;-2.8293674;0.22418399;-0.17063260078430176
CHEMBL1083981;-3.8095663;0.39103112;2.113209870650823
CHEMBL1084120;-1.8574307;0.088676184;0.8160380113292016
CHEMBL1084127;-1.5136893;0.1275889;0.15196144353868157
CHEMBL1084128;-1.3248318;0.20535028;-0.7085919121107902
CHEMBL1084129;-1.6018137;0.16583575;0.1546556426308643
CHEMBL1084260;-3.7963896;0.34518912;0.2042128223770825
CHEMBL1084746;-4.1283784;0.49339503;-0.4917576637078884
CHEMBL1084913;-1.35763;0.18865544;-0.28582266206663176
CHEMBL1084922;-2.8094132;0.26191685;0.8749147434128042
CHEMBL1085161;-1.4833256;0.39307466;0.2792056179681597
CHEMBL1085172;-2.4402547;0.2787107;-0.3231733052999979
CHEMBL1085667;-1.4988686;0.18146163;-2.5011314153671265
CHEMBL1085668;-1.6486799;0.121500544;0.5694986064380319
CHEMBL1085669;-1.2547762;0.15850173;-0.04625375626883965
CHEMBL1085899;-1.3432826;0.16395019;0.07611085197265788
CHEMBL1086388;-2.045034;0.04420974;-0.9549660682678223
CHEMBL1086389;-1.5411526;0.12768053;-0.4800367025962444
CHEMBL1086644;-1.695372;0.10237164;-0.19111873973699578
CHEMBL1086652;-1.7940711;0.10834392;-0.005269471153105609
CHEMBL1086744;-4.3309617;0.5056698;-0.011460976568056225
CHEMBL1086774;-1.5856992;0.16256277;0.4585944022653803
CHEMBL1086775;-1.2561924;0.16001517;0.11006441007676693
CHEMBL1086776;-1.4024636;0.15718047;0.4629443027173802
CHEMBL1087040;-1.6070694;0.121421;-0.9727142234860118
CHEMBL1087041;-1.628425;0.093760975;-0.6726049935658978
CHEMBL1087253;-4.3220463;0.46140057;-0.15507497481243604
CHEMBL1087288;-1.611876;0.15205665;-0.5342520247834628
CHEMBL1087289;-1.689804;0.0954781;-0.6112260377248333
CHEMBL1087290;-2.0055625;0.16948843;-0.9944374561309814
CHEMBL1087297;-1.7167026;0.08338408;0.37427989962975916
CHEMBL1087298;-1.7574785;0.12816179;-0.2381567190268712
CHEMBL1087418;-1.7030106;0.13459365;0.09022670236229557
CHEMBL1087419;-1.6676387;0.115070395;0.17627696564296125
CHEMBL1087426;-1.7687153;0.11154551;0.388504020701419
CHEMBL1087512;-3.3769064;0.31701198;-0.6230936050415039
CHEMBL1087545;-1.5917807;0.1224536;0.31302706158379223
CHEMBL1087546;-1.6118873;0.12929755;0.12052564194301008
CHEMBL1087547;-1.6509808;0.0813385;0.37222722923973706
CHEMBL1087557;-0.9642495;0.2300401;-0.13955422926436745
CHEMBL1087682;-0.88826835;0.24816455;0.13392001584385171
CHEMBL1087683;-1.7276263;0.12473991;0.686233638541726
CHEMBL1087811;-1.5325482;0.1465754;-0.011519855187067662
CHEMBL1087812;-1.6407489;0.09215498;0.5993561732936181
CHEMBL1087919;-1.7247745;0.058192085;0.24765322514636545
CHEMBL1088337;-0.30065316;0.40935767;-0.9688597845995388
CHEMBL1088343;-1.711311;0.2356811;-0.2843242118933873
CHEMBL1088344;-1.7286997;0.22197458;0.3484884424314605
CHEMBL1088483;-1.7448665;0.15846564;0.8997684503498179
CHEMBL1088485;-1.5313274;0.16859671;0.20910807209499915
CHEMBL1088629;-0.97995794;0.23414887;-1.053465817292675
CHEMBL1088631;-1.6539068;0.14904757;0.44978683954866505
CHEMBL1094732;-2.3986378;0.2568596;-0.005357323657235291
CHEMBL1095097;-4.0544143;0.47245362;-0.24661572335563164
CHEMBL1096975;-2.2318037;0.21243513;-0.8031975808258149
CHEMBL1097284;-1.677119;0.20979902;-1.0218770445758953
CHEMBL1097377;-1.1647921;0.20017605;-0.7181875931852482
CHEMBL1098709;-1.9233329;0.24288954;-0.5806619191546178
CHEMBL1098710;-2.3976896;0.18153656;0.6686868716451684
CHEMBL1116;-2.066475;0.48749024;-0.4113695617879771
CHEMBL1163598;-2.4333668;0.2869113;-1.5666332244873047
CHEMBL1208076;-2.639787;0.18074878;0.2084231945354702
CHEMBL1222036;-1.760609;0.24128196;-1.9428543111597212
CHEMBL1231453;-2.4602818;0.0894942;-0.2879061780987291
CHEMBL1256102;-4.0397735;0.41200995;-0.034226628032305584
CHEMBL1256103;-3.8327472;0.37355042;-0.3672527262685117
CHEMBL1256104;-4.0978937;0.38675436;-0.10210623235676852
CHEMBL1256105;-4.1112905;0.5285947;-0.08870949239705173
CHEMBL1257167;-4.138753;0.4441451;0.5317528210588627
CHEMBL1257168;-3.7463074;0.29749644;-0.4536925742146787
CHEMBL1257284;-3.970117;0.4016421;-0.22988285512898532
CHEMBL1258783;-3.736209;0.27935347;-0.4587910648559701
CHEMBL1258901;-3.5105133;0.30039015;-0.5834865867488919
CHEMBL1258902;-3.793183;0.34616274;-0.4068168589589414
CHEMBL1276308;-3.0215738;0.2479814;0.11201775272598757
CHEMBL1327407;-3.6658673;0.33553174;0.2156182203244379
CHEMBL135;-2.0415134;0.14478436;1.2834871052222772
CHEMBL1358;-3.2678058;0.25898054;1.9944186746113577
