id;predicted;uq;resid
mobley_1017962;-2.3486834;0.38432553;-0.14131664276123068
mobley_1019269;-4.197215;0.21551935;-0.5227849197387693
mobley_1034539;-3.5430057;0.18005748;0.5030057048797607
mobley_1036761;-5.003475;0.53653723;0.4134751892089845
mobley_1046331;-4.023044;0.53364754;0.20304410934448258
mobley_1075836;-3.0230582;0.332088;0.09305817604064925
mobley_1079207;-1.0757328;0.45977896;0.09573282718658449
mobley_1107178;-1.294922;0.50367665;0.5549219942092896
mobley_1139153;1.9759839;1.1810238;0.9140161418914796
mobley_1144156;-2.692556;0.44494995;1.1025559043884277
mobley_1160109;-3.8584337;0.724047;0.10843372344970703
mobley_1178614;-5.2372866;0.28026736;0.6872865676879885
mobley_1189457;-1.4031203;0.4489008;-1.3268797206878662
mobley_1199854;-0.66472226;0.518807;0.13472226381301877
mobley_1231151;0.17154069;0.76997536;-0.42154069244861603
mobley_1235151;-3.0748649;0.2500694;0.2548648643493654
mobley_1244778;-5.4827466;0.36166;0.002746601104735902
mobley_1261349;0.6045286;0.8351168;1.905471394062042
mobley_1278715;-0.38831788;0.81679666;-0.25168211698532106
mobley_129464;-2.5615418;0.7872342;1.7315417957305907
mobley_1323538;-6.313115;0.48145175;-1.186884880065918
mobley_1328465;-1.1009442;0.43656972;-0.8890558385848999
mobley_1328936;-8.493214;1.0077298;1.6132136535644532
mobley_1352110;-4.195747;0.1422159;0.5557468986511229
mobley_1363784;-5.1661143;0.36346373;0.3261143302917482
mobley_1396156;-3.1857018;0.25269264;-2.0342981529235837
mobley_1417007;-7.6740007;0.7825027;-1.3359992599487303
mobley_1424265;-1.3341762;0.5259532;0.5041761827468872
mobley_1449384;-0.6280445;0.7435184;-0.051955513954162647
mobley_1469079;-3.129404;0.15968561;-0.430595932006836
mobley_1502181;-2.487565;0.3255577;-0.002434959411621307
mobley_1520842;-5.3798046;0.31842136;0.44980461120605497
mobley_1527293;-7.307199;0.78622425;-1.112800998687744
mobley_1563176;-0.8039194;0.46722835;-0.18608062505722045
mobley_1571523;-5.0472736;0.46076456;-1.1127263641357423
mobley_1592519;-2.4179554;0.14238453;0.18795539855957033
mobley_1615431;-0.69103676;0.601655;0.16103676080703733
mobley_1636752;-4.4751115;0.27258557;-0.6248885154724118
mobley_1650157;-4.525168;0.1935264;0.05516794204711939
mobley_1659169;-5.1594415;0.43407676;-2.0105585289001464
mobley_1662128;0.52144015;0.8454224;0.8585598516464232
mobley_1674094;-0.44057414;0.6149767;0.7305741393566132
mobley_1708457;-4.7875605;0.30098242;-5.29243953704834
mobley_1717215;-4.1905932;0.6614456;1.4105932426452639
mobley_1722522;-2.5326362;0.21968618;0.04263616561889627
mobley_1723043;-0.6080838;0.5266634;4.03808378458023
mobley_1728386;-6.730961;0.78948176;-4.269039154052734
mobley_172879;-3.297058;0.19002664;0.1470581054687501
mobley_1733799;-7.03237;0.69806373;1.1823700904846195
mobley_1735893;-6.590116;0.5828484;0.380116024017334
mobley_1743409;-2.3229396;0.20280398;-3.38706036567688
mobley_1755375;-5.7396502;0.3427291;0.4796502494812014
mobley_1760914;-1.4913876;0.5106231;0.35138760566711436
mobley_1770205;-9.389999;0.986464;-0.6400006103515619
mobley_1781152;-3.3861926;0.26944444;0.9861925601959229
mobley_1792062;-1.4517713;0.49905053;-0.8782287406921387
mobley_1800170;-1.2724006;0.49009392;0.1324006175994874
mobley_1803862;0.92760175;1.0505692;1.4523982453346251
mobley_1821184;-5.995054;0.49379793;0.11505376815795909
mobley_1827204;-2.811393;0.2979055;0.001393022537231392
mobley_1838110;-0.74097687;0.7145188;2.510976870059967
mobley_1849020;-4.9589977;0.332234;-1.5410022735595703
mobley_1855337;-1.2486025;0.49354112;-0.3713974905014039
mobley_1857976;-1.7979833;0.34331623;0.007983288764953578
mobley_1858644;-6.34725;0.4932217;-0.4427500152587891
mobley_186894;-1.1524178;0.5171838;0.052417778968810946
mobley_1873346;-1.1718979;0.46347627;0.27189788818359373
mobley_1875719;-4.5171595;0.58781624;1.1071594619750975
mobley_1881249;-3.0984967;0.21622749;-0.421503324508667
mobley_1893815;-0.89399755;0.48366895;-0.5360024499893188
mobley_1893937;-0.1897679;0.6804177;0.18976789712905884
mobley_1896013;-12.639414;1.8087665;-7.8805861663818355
mobley_1899443;-4.00223;0.7608475;5.472230167388916
mobley_1903702;-3.5664082;0.24232335;-1.0535918426513673
mobley_1905088;-4.2782826;0.72365016;1.898282642364502
mobley_1922649;-7.2878375;0.74514616;0.09783750534057578
mobley_1923244;0.6641796;0.7622231;1.4358203768730164
mobley_1929982;-5.875129;0.47850195;5.175129222869873
mobley_194273;-8.267434;0.8906327;-1.4625658798217778
mobley_1944394;-5.386461;0.6901903;-3.9535392189025877
mobley_1952272;-4.248189;0.30832136;0.22818897247314496
mobley_1963873;-4.951631;0.4587839;-5.04836893081665
mobley_1967551;-2.8844264;0.36208543;-0.6155736446380615
mobley_197466;-4.4817996;0.35884374;-0.1282003974914554
mobley_1976156;-2.2530847;0.3668921;0.18308465957641618
mobley_1977493;-1.2177649;0.5591087;0.8877648544311523
mobley_1987439;-5.6372156;0.45002082;4.737215614318847
mobley_2005792;-2.7239325;0.28633082;0.023932504653930486
mobley_2008055;-0.9555869;0.5897349;2.785586910247803
mobley_2023925;0.01964932;1.1649444;0.08035068064928055
mobley_2043882;-3.8178787;0.18872854;-0.08212127685546866
mobley_2049967;-1.6059521;0.39886975;0.10595214366912842
mobley_20524;-6.6153274;0.5344088;0.015327358245849965
mobley_2068538;-1.5975773;0.91120976;3.5975773334503174
mobley_2078467;-6.4021034;0.4440815;-0.5978965759277344
mobley_2099370;-7.9710407;0.7851806;-2.8089592742919915
mobley_210639;0.7123468;0.8707079;-1.1723467922210693
mobley_2123854;-8.1049595;0.85042745;-2.065040512084961
mobley_2126135;-5.5228868;0.3281073;-0.13711324691772475
mobley_2143011;0.050630428;0.92472434;1.7793695721030236
mobley_2146331;-3.2942777;0.847415;0.5442776679992676
mobley_2178600;0.2078444;0.70118594;-0.30784440636634824
mobley_2183616;-4.0300407;0.8183782;3.5800407409667967
mobley_2197088;2.5981064;1.1910609;0.5618936157226564
mobley_2198613;-1.0629094;0.46128625;0.4329093647003174
mobley_2213823;-1.1193404;1.1042465;3.629340419769287
mobley_2245668;-5.9474115;0.74968874;1.4474115371704102
mobley_2261979;-5.5890117;0.42433038;2.4390116691589356
mobley_2269032;-7.4276905;0.70668787;-2.7823094940185555
mobley_2279874;-2.511508;0.31626725;-1.9084920120239257
mobley_2294995;-2.454091;0.35288942;-0.10590892791748052
mobley_2295058;-6.725712;0.6588978;-2.784288177490234
mobley_2310185;-5.132483;0.36094877;0.13248300552368164
mobley_2316618;-9.007;1.0069305;-5.203000030517579
mobley_2328633;2.016728;1.0299332;0.533272075653076
mobley_2341732;-2.5328074;0.33780992;-0.027192649841308647
mobley_2354112;-5.704196;0.44678888;-0.5458040237426758
mobley_2364370;-2.6664953;0.1552021;0.02649532318115222
mobley_2371092;-4.874979;0.22827317;-0.3450209808349607
mobley_2390199;-3.5958292;0.17265879;0.6758292484283448
mobley_2402487;-2.7681482;0.1889136;-3.231851816177368
mobley_2410897;-5.0460377;0.35418427;0.5460376739501953
mobley_2422586;-2.6583605;0.26149642;0.9983604812622071
mobley_242480;-9.356627;1.1180097;-2.493372535705566
mobley_2451097;-6.440356;0.53071874;2.340355777740479
mobley_2457863;-6.705568;0.57062715;-0.9544321632385255
mobley_2481002;-3.0923738;0.4331936;1.6423738479614258
mobley_2484519;-2.8003097;0.80750066;0.8703096580505372
mobley_2487143;-3.1204455;0.21719532;-0.15955451011657695
mobley_2489709;-1.5433627;0.33586082;0.18336273670196523
mobley_2492140;-1.1261148;0.4903131;-0.10388515472412108
